Name,Review,SkuInfo,Date,StarCount
Frankie N.,"Items received in good condition, fast delivery and value for money, thank you seller.",Color Family:Dark blue-50PCS,16 Mar 2023,5
hj M.,"as expected quality is good, fast shipping by seller, 2nd purchased",Color Family:Black-50PCS,01 Mar 2023,5
CHEOW L.,Item received in good condition.  Well packed and the mask is soft.  Good quality.  Thanks seller and will buy from this seller again in future.,Color Family:Black-50PCS,01 Mar 2023,5
P***.,"fast delivery, items received in good condition, quality was thin but accepted",Color Family:Black-50PCS,22 Feb 2023,5
Tan L.,Goods received in good order & condition. Thank you seller. Will repeat order again later.,Color Family:Black-50PCS,22 Feb 2023,5
S***.,Facemask okayy takde defect. Good. Fast delivery tq seller & courier.,Color Family:Dark blue-50PCS,21 Feb 2023,5
L***.,Received in good condition.  Prompt delivery.  Trustworthy and reliable seller.,Color Family:Black-50PCS,18 Jan 2023,5
Y***.,"received packing in good condition 
quality ok, thanks seller",Color Family:White-50PCS,17 Jan 2023,5
siti H.,penghantaran pantas n pembungkusan bagus. harga berpatutan,Color Family:Black-50PCS,14 Jan 2023,5
****1,Thanks for prompt delivery.,Color Family:White-50PCS,12 Jan 2023,5
H***.,terbaik.... 👍💯,Color Family:Grey-50PCS,12 Jan 2023,5
J***.,"very good seller... responsive... friendly
highly recommended",Color Family:Black-50PCS,07 Jan 2023,5
christina L.,delivered very fast and wrap with bubbles bag thanks seller,Color Family:Black-50PCS,29 Dec 2022,5
wulinar,"i order grey 
send to me all white🤣🤣🤣😂😂😂😂😂",Color Family:Grey-50PCS,27 Dec 2022,5
P***.,"good!!!
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",Color Family:White-50PCS,22 Dec 2022,5
Lim K.,nice and good !,Color Family:White-50PCS,14 Dec 2022,5
Saf,"Super love the mask! Fits perfectly and anti-acne! I bought 50pcs terus andd super fast shipping! Next day dapat dah! Terima kasih, Seller!",Color Family:Black-50PCS,14 Dec 2022,5
Tan L.,Received in good order & condition. Fast delivery. Good quality & worth for money. Will repeat order soon. Thank you.,Color Family:Rose Gold-50PCS,25 Nov 2022,5
0***6,Received  goods in good condition.Thanks seller!,Color Family:Black-50PCS,23 Nov 2022,5
WONG Z.,It's not my first time buying from this shop. The price is very affordable and everything works.,Color Family:White-50PCS,21 Nov 2022,5
1***1,I ordered on sept(50pcs) to check the size and design.. all were good. so I re ordered 100pcs. end up different design at nose bridge.dissappointed.,Color Family:Black-50PCS,14 Nov 2022,5
JALEHA B.,"fast shipping
excellent service by seller
good value for money
Tq Lazada Tq Seller",Color Family:Black-50PCS,07 Nov 2022,5
Chin H.,fast deliver 😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃,Color Family:White-50PCS,03 Nov 2022,5
F***.,good product quantity... good value for money... fast delivery,Color Family:Black-50PCS,17 Oct 2022,5
Chen M.,Ordered 10/10 and received on 13/10.  Hopefully the quality is good where the earloop will not detached easily.,Color Family:White-50PCS,14 Oct 2022,5
采宸 羅.,已收到了谢谢👍👍👍👍👍,Color Family:Grey-50PCS,13 Oct 2022,5
采宸 羅.,己收到了谢谢。👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Color Family:Black-50PCS,11 Oct 2022,5
l***.,"GOOD CONDITION OF PRODUCT
GOOD SERVICE OF SELLER
GOOD SERVICE OF COURIER",Color Family:White-50PCS,03 Oct 2022,5
Dhammi P.,"This is my second time buying ..
Very good product..
And very fast delivery too…
Will buy again in different colors ..
Thank you 🙏",Color Family:Matcha-50PCS,01 Oct 2022,5
K***.,"Face masks well received, Thank you seller for the extra white face mask and the rebate card.",Color Family:Rose Gold-50PCS,29 Sep 2022,5
Dolynn C.,"Well packaging and received in  good condition, tq seller.",Color Family:Black-50PCS,23 Sep 2022,5
Kangsika,Thank 👍🏻👍🏻,Color Family:Black-50PCS,23 Sep 2022,5
Kangsika,👍🏻👍🏻👍🏻thank,Color Family:Black-50PCS,21 Sep 2022,5
Kangsika,👍🏻thank terbaik,Color Family:White-50PCS,21 Sep 2022,5
YM L.,"Well received with nice packing  , worth of money, not yet use, hope its comfortable to wear. Thanks seller",Color Family:White-50PCS,21 Sep 2022,5
CHIA L.,Receive in good condition okay to wear it this mask☺️,Color Family:Black-50PCS,20 Sep 2022,5
Sindy Y.,Good product quality! Good value for money! Fast delivery!,Color Family:Black-50PCS,19 Sep 2022,5
0***3,received.😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😍😍😍,Color Family:Rose Gold-50PCS,15 Sep 2022,5
H***.,Fast delivery. Good product. Thank you seller and Lazada for amazing service.,Color Family:White-50PCS,22 Jul 2022,5
Nick C.,老板！货已安全到达，个人非常满意卖家的货品，如有需要到的东西，我会选择再次向这位卖家购物，谢谢,Color Family:Black-50PCS,15 Jul 2022,5
jeraline R.,thank you seller. like it.👍👍👍👍👍❤️,Color Family:Black-50PCS,13 Jul 2022,5
h***o,"fast delivery,quality ok,tqtqtqtqtqtqtq",Color Family:Matcha-50PCS,13 Jul 2022,5
Ann L.,Products was received good condition❤️ Thanks the free mask too.Fast delivery too.👍🏻,Color Family:Black-50PCS,12 Jul 2022,5
R***w,Received package this evening. Well packaged. All in good condition. Thanks seller and Lazada. Service form seller was great. Much appreciated. Thanks  to Lazada too .Delivery service was excellent.,Color Family:Grey-50PCS,09 Jul 2022,5
********984,I order 50 mask..Ok its good to use,Color Family:Black-50PCS,09 Jul 2022,5
A***.,"Received in two days ., super fast , quality is okay ., a little thin but okay still can use ..",Color Family:Black-50PCS,09 Jul 2022,5
C***.,"thanks lazada, thanks seller.",Color Family:White-50PCS,29 Jun 2022,5
E***.,the packaging was very tight so much so that a few packets of the masks are folded but usable. Am waiting for the next shipment of the latest kf94 masks again. Hope this time the packaging has improved 🙏🙏👍,Color Family:White,16 Jun 2022,5
Wong C.,received with thanks. fast delivery,Color Family:Black,16 Jun 2022,5
VN,mỏng. có mùi khó chịu,Color Family:Black,13 Jun 2022,5
1***5,wow barang sudah sampai dengan selamat dan datang pada waktu yang tepat...👍👍👍,Color Family:Black,11 Jun 2022,5
A***.,"Comfortable and cheap 
__________________________

⭐⭐⭐⭐⭐",Color Family:White,07 Jun 2022,5
masdee,barang dh sampai dgn baik...,Color Family:White,04 Jun 2022,5
Pushpa,Received in good condition and good quality. Worth the price. Just that the delivery is slow,Color Family:Grey,03 Jun 2022,5
emma A.,"akhir nya dapat juga, penghantaran terlalu lambat,any way thanks...",Color Family:Black,01 Jun 2022,5
Siew T.,"Very disappointed, the mask is thin only 1layer 😔",Color Family:White Green,23 May 2022,5
LEE L.,received goods,Color Family:Black,23 May 2022,5
Kang C.,I see the products are in good quality and your company is very reliable,Color Family:White,23 May 2022,5
Suanty S.,barang dah sampai dan dlm keadaan yg elok.t.kasih byk pd sell dan flash my.pengantaran pun cepat sgt2.,Color:Black,17 May 2022,5
Sazali O.,tq so much 👍🏼👍🏼👍🏼,Color Family:Black,13 May 2022,5
Foo C.,Received with thanks.,Color Family:White,10 May 2022,5
